iter	Logloss
0	0.6914178146
1	0.6897717928
2	0.688286604
3	0.6868226882
4	0.6854861968
5	0.6842747025
6	0.6830579256
7	0.6818739149
8	0.6807772095
9	0.6798544008
10	0.6788226568
11	0.6778910676
12	0.6770055224
13	0.6761403937
14	0.6753049616
15	0.6745327063
16	0.6737842225
17	0.6731041981
18	0.6724450184
19	0.6718081826
20	0.6712156062
21	0.670670216
22	0.6701427437
23	0.6696335463
24	0.6691448368
25	0.6686981737
26	0.6682862756
27	0.6678866559
28	0.6674695467
29	0.6671437403
30	0.6668015151
31	0.6664514374
32	0.6661181355
33	0.6657870466
34	0.6654735186
35	0.6651649877
36	0.6649088542
37	0.6646214535
38	0.6643716734
39	0.6641423097
40	0.6639001679
41	0.663682226
42	0.6634617142
43	0.6632519817
44	0.6630495306
45	0.662876205
46	0.662703165
47	0.6625572517
48	0.6623911361
49	0.6622564305
50	0.662123795
51	0.6620057937
52	0.6618717305
53	0.6617140385
54	0.6615899694
55	0.6614327771
56	0.6613222713
57	0.6612034134
58	0.661077631
59	0.660957274
60	0.660863187
61	0.6607513249
62	0.6606362505
63	0.6605721457
64	0.6604789868
65	0.6603843287
66	0.6603414257
67	0.6602702537
68	0.6602309913
69	0.6601679573
70	0.6600635908
71	0.6600156907
72	0.659939022
73	0.6598680641
74	0.6597759046
75	0.6597136559
76	0.6596401995
77	0.6595641019
78	0.6595089918
79	0.6594376057
80	0.6593530131
81	0.6592617102
82	0.6591315019
83	0.6590441966
84	0.6589881585
85	0.6589346902
86	0.658885648
87	0.6588171886
88	0.6587468733
89	0.6586375811
90	0.6585562009
91	0.6584761056
92	0.6584263495
93	0.6583724529
94	0.6583106325
95	0.6582559507
96	0.658196843
97	0.6581539399
98	0.6581121077
99	0.6580379375
100	0.6579784728
101	0.6578993769
102	0.6578261348
103	0.6577368307
104	0.6576848616
105	0.6576132613
106	0.6575217442
107	0.6574813397
108	0.6574235169
109	0.6573631956
110	0.6572929516
