iter	Passed	Remaining
0	65	65726
1	128	64237
2	192	64051
3	259	64627
4	319	63524
5	377	62563
6	443	62873
7	502	62318
8	558	61472
9	617	61106
10	679	61079
11	737	60741
12	797	60583
13	854	60173
14	915	60125
15	973	59871
16	1034	59812
17	1090	59467
18	1148	59285
19	1204	59040
20	1264	58937
21	1320	58695
22	1392	59143
23	1473	59941
24	1538	59997
25	1594	59747
26	1681	60590
27	1734	60194
28	1791	59978
29	1886	60983
30	1955	61112
31	2010	60807
32	2062	60445
33	2116	60130
34	2175	59970
35	2235	59869
36	2291	59628
37	2352	59558
38	2412	59458
39	2490	59776
40	2579	60342
41	2643	60290
42	2704	60201
43	2757	59915
44	2819	59831
45	2883	59802
46	2962	60079
47	3028	60058
48	3092	60010
49	3161	60070
50	3219	59911
51	3284	59883
52	3349	59841
53	3427	60039
54	3497	60091
55	3570	60195
56	3635	60144
57	3705	60184
58	3762	60010
59	3824	59909
60	3883	59780
61	3945	59692
62	4010	59654
63	4082	59704
64	4178	60108
65	4234	59922
66	4296	59835
67	4369	59883
68	4432	59803
69	4501	59810
70	4571	59815
71	4631	59693
72	4698	59669
73	4760	59569
74	4827	59543
75	4895	59513
76	4954	59384
77	5018	59319
78	5107	59548
79	5183	59606
80	5244	59501
81	5310	59452
82	5371	59348
83	5431	59225
84	5493	59132
85	5555	59046
86	5616	58943
87	5673	58794
88	5741	58774
89	5819	58843
90	5910	59035
91	5976	58985
92	6038	58894
93	6090	58701
94	6148	58574
95	6202	58406
96	6285	58509
97	6341	58368
98	6399	58238
99	6457	58115
100	6515	57993
101	6580	57935
102	6642	57845
103	6699	57717
104	6751	57549
105	6816	57488
106	6874	57373
107	6930	57240
108	6990	57139
109	7047	57019
110	7104	56896
111	7168	56839
112	7227	56730
113	7283	56603
114	7341	56495
115	7394	56348
116	7459	56297
117	7512	56153
118	7569	56042
119	7666	56219
120	7719	56081
121	7791	56073
122	7863	56066
123	7924	55983
124	8021	56151
125	8096	56158
126	8151	56035
127	8220	56000
128	8289	55967
129	8343	55834
130	8403	55745
131	8460	55633
132	8518	55529
133	8577	55436
134	8634	55326
135	8693	55231
136	8748	55110
137	8800	54972
138	8858	54872
139	8912	54747
140	8972	54663
141	9032	54575
142	9093	54496
143	9156	54427
144	9213	54330
145	9270	54224
146	9328	54131
147	9380	53999
148	9437	53903
149	9500	53837
150	9558	53743
151	9619	53666
152	9678	53577
153	9735	53480
154	9788	53364
155	9864	53369
156	9924	53289
157	9982	53199
158	10042	53118
159	10096	53005
160	10156	52929
161	10215	52843
162	10271	52743
163	10325	52634
164	10386	52560
165	10459	52549
166	10522	52485
167	10580	52399
168	10651	52375
169	10712	52302
170	10770	52212
171	10831	52141
172	10887	52047
173	10950	51985
174	11009	51900
175	11089	51918
176	11149	51839
177	11212	51777
178	11264	51665
179	11320	51570
180	11404	51602
181	11460	51510
182	11517	51419
183	11570	51314
184	11627	51224
185	11686	51144
186	11744	51062
187	11806	50993
188	11861	50899
189	11926	50844
190	11996	50813
191	12058	50744
192	12115	50658
193	12174	50579
194	12231	50495
195	12286	50400
196	12347	50331
197	12403	50239
198	12457	50141
199	12518	50075
200	12575	49988
201	12634	49913
202	12717	49928
203	12773	49840
204	12832	49766
205	12927	49829
206	13012	49851
207	13069	49764
208	13123	49670
209	13181	49587
210	13237	49500
211	13298	49429
212	13392	49484
213	13463	49449
214	13520	49364
215	13576	49276
216	13632	49190
217	13683	49086
218	13743	49012
219	13821	49001
220	13873	48903
221	13941	48857
222	14013	48828
223	14084	48793
224	14150	48741
225	14207	48657
226	14261	48565
227	14314	48466
228	14370	48384
229	14436	48329
230	14498	48266
231	14556	48188
232	14617	48117
233	14674	48036
234	14742	47993
235	14800	47914
236	14851	47813
237	14908	47731
238	14960	47636
239	15027	47586
240	15100	47557
241	15156	47472
242	15218	47407
243	15275	47327
244	15333	47252
245	15390	47173
246	15449	47098
247	15520	47060
248	15582	46999
249	15637	46913
250	15693	46828
251	15760	46779
252	15822	46715
253	15882	46646
254	15948	46594
255	16021	46563
256	16095	46532
257	16167	46496
258	16225	46422
259	16286	46354
260	16345	46280
261	16403	46204
262	16461	46128
263	16524	46069
264	16608	46064
265	16679	46025
266	16743	45966
267	16796	45876
268	16858	45813
269	16914	45731
270	16974	45661
271	17032	45587
272	17090	45510
273	17165	45481
274	17220	45398
275	17271	45306
276	17338	45255
277	17392	45169
278	17478	45169
279	17603	45265
280	17681	45243
281	17735	45157
282	17796	45089
283	17862	45032
284	17925	44970
285	17982	44893
286	18041	44819
287	18102	44754
288	18164	44688
289	18222	44613
290	18282	44544
291	18350	44494
292	18407	44416
293	18467	44347
294	18522	44265
295	18580	44192
296	18645	44133
297	18698	44049
298	18754	43969
299	18812	43894
300	18871	43824
301	18929	43750
302	18984	43670
303	19046	43607
