matchid,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6300004,The Amber Hand,Haze,McGinnis,Lash,Bebop,Wraith,Lady Geist,Seven,Vindicta,Grey Talon,Infernus,Pocket,Warden
6300005,The Sapphire Flame,Yamato,Kelvin,Vindicta,Infernus,Shiv,Bebop,Seven,Wraith,Pocket,Mo & Krill,Abrams,Paradox
6300007,The Amber Hand,Lady Geist,Kelvin,Infernus,Pocket,Warden,Haze,Paradox,Ivy,Seven,Viscous,Abrams,Shiv
6300008,The Sapphire Flame,Warden,Abrams,Dynamo,Haze,Viscous,Shiv,Bebop,McGinnis,Grey Talon,Vindicta,Wraith,Seven
6300009,The Sapphire Flame,Ivy,Kelvin,Grey Talon,Mo & Krill,Pocket,Wraith,Viscous,Shiv,Vindicta,Haze,Seven,Infernus
6300010,The Sapphire Flame,Warden,Wraith,Grey Talon,Abrams,Ivy,Vindicta,Pocket,Seven,Shiv,Lady Geist,Infernus,McGinnis
6300011,The Amber Hand,Grey Talon,Haze,Bebop,Lash,Kelvin,McGinnis,Pocket,Warden,Seven,Wraith,Infernus,Vindicta
6300012,The Sapphire Flame,Grey Talon,Vindicta,Dynamo,Kelvin,Wraith,McGinnis,Haze,Mo & Krill,Infernus,Yamato,Bebop,Seven
6300014,The Amber Hand,Abrams,Vindicta,Shiv,McGinnis,Yamato,Viscous,Bebop,Seven,Mo & Krill,Haze,Paradox,Infernus
6300015,The Sapphire Flame,Lady Geist,Lash,Warden,Infernus,Ivy,Viscous,Haze,Seven,Dynamo,Paradox,Mo & Krill,Vindicta
6300023,The Amber Hand,Kelvin,Infernus,Viscous,Dynamo,Abrams,Haze,Seven,McGinnis,Lash,Pocket,Wraith,Shiv
6300024,The Amber Hand,Abrams,Paradox,Bebop,Kelvin,Wraith,Shiv,Warden,Yamato,Haze,Mo & Krill,Seven,Dynamo
6300025,The Sapphire Flame,Wraith,Warden,McGinnis,Seven,Lady Geist,Pocket,Haze,Kelvin,Grey Talon,Infernus,Shiv,Abrams
6300026,The Sapphire Flame,Seven,Lash,Warden,Dynamo,Paradox,Pocket,Viscous,Infernus,Bebop,Wraith,McGinnis,Haze
6300027,The Sapphire Flame,Pocket,Vindicta,Seven,Abrams,Viscous,Grey Talon,Yamato,Kelvin,Paradox,Dynamo,Lady Geist,Infernus
6300028,The Amber Hand,Kelvin,Wraith,Haze,Lash,Vindicta,Ivy,Bebop,Infernus,Lady Geist,Shiv,Mo & Krill,Viscous
6300037,The Amber Hand,Bebop,Seven,Grey Talon,Infernus,Haze,Yamato,McGinnis,Shiv,Kelvin,Wraith,Warden,Viscous
6300048,The Sapphire Flame,Bebop,Lash,Yamato,Viscous,Seven,Pocket,Wraith,Dynamo,Warden,Kelvin,Grey Talon,Lady Geist
6300049,The Amber Hand,Abrams,Grey Talon,Lady Geist,Wraith,Pocket,Infernus,Yamato,Mo & Krill,Vindicta,Dynamo,Haze,Seven
6300052,The Amber Hand,Wraith,Vindicta,Ivy,Shiv,Bebop,Warden,Seven,Yamato,Pocket,Dynamo,McGinnis,Haze
6300057,The Amber Hand,Seven,Paradox,Infernus,Mo & Krill,Abrams,Bebop,McGinnis,Lash,Grey Talon,Shiv,Vindicta,Dynamo
6300058,The Sapphire Flame,Lady Geist,Shiv,Yamato,Haze,Abrams,Infernus,Vindicta,Wraith,Bebop,Seven,Pocket,Grey Talon
6300059,The Amber Hand,Bebop,Infernus,Lady Geist,McGinnis,Haze,Pocket,Grey Talon,Dynamo,Vindicta,Paradox,Ivy,Seven
6300060,The Sapphire Flame,Yamato,Seven,Dynamo,McGinnis,Pocket,Wraith,Bebop,Haze,Warden,Grey Talon,Ivy,Kelvin
6300061,The Sapphire Flame,Grey Talon,Shiv,Lady Geist,Wraith,Paradox,Dynamo,Vindicta,Ivy,Seven,Viscous,Warden,Infernus
6300062,The Amber Hand,Infernus,Seven,Lady Geist,Lash,Viscous,Bebop,Grey Talon,McGinnis,Vindicta,Haze,Wraith,Paradox
6300063,The Sapphire Flame,Bebop,Warden,Lash,Haze,Ivy,Kelvin,Viscous,Lady Geist,Seven,Vindicta,Abrams,McGinnis
6300067,The Sapphire Flame,Kelvin,Lash,Vindicta,Abrams,Grey Talon,Mo & Krill,Haze,Lady Geist,Paradox,Seven,Shiv,Warden
6300068,The Sapphire Flame,Haze,Ivy,Infernus,Abrams,Kelvin,Vindicta,Lash,Grey Talon,Seven,Bebop,Wraith,Warden
6300069,The Sapphire Flame,Wraith,Dynamo,Viscous,McGinnis,Ivy,Infernus,Seven,Abrams,Haze,Bebop,Kelvin,Shiv
6300070,The Sapphire Flame,Haze,Wraith,Viscous,Pocket,Dynamo,Paradox,Lady Geist,Grey Talon,Yamato,Infernus,McGinnis,Seven
6300072,The Sapphire Flame,Abrams,Yamato,Haze,Vindicta,Bebop,Wraith,Viscous,Dynamo,Ivy,Seven,Infernus,Warden
6300074,The Amber Hand,Seven,Abrams,Warden,Bebop,Haze,Ivy,Vindicta,Lady Geist,Kelvin,Paradox,McGinnis,Infernus
6300077,The Amber Hand,Viscous,Wraith,Paradox,McGinnis,Lash,Grey Talon,Warden,Bebop,Abrams,Vindicta,Haze,Seven
6300078,The Amber Hand,McGinnis,Warden,Lady Geist,Yamato,Viscous,Ivy,Haze,Vindicta,Grey Talon,Bebop,Seven,Wraith
6300079,The Sapphire Flame,Dynamo,Viscous,Shiv,Kelvin,Haze,Vindicta,Abrams,Infernus,Ivy,Lady Geist,Seven,Wraith
