matchid,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
5700004,The Sapphire Flame,McGinnis,Pocket,Viscous,Vindicta,Lady Geist,Kelvin,Haze,Warden,Paradox,Wraith,Abrams,Yamato
5700007,The Sapphire Flame,Bebop,Haze,Infernus,Viscous,Ivy,Grey Talon,Warden,Dynamo,Lady Geist,Mo & Krill,Shiv,Yamato
5700008,The Amber Hand,Seven,Abrams,Kelvin,Paradox,Lash,Pocket,Lady Geist,Wraith,Shiv,Ivy,Haze,Grey Talon
5700012,The Amber Hand,Wraith,Haze,Warden,Vindicta,Infernus,Bebop,McGinnis,Paradox,Mo & Krill,Yamato,Abrams,Seven
5700015,The Sapphire Flame,Warden,Infernus,Vindicta,Seven,Wraith,Abrams,Viscous,Haze,McGinnis,Pocket,Grey Talon,Bebop
5700016,The Amber Hand,Wraith,Seven,Grey Talon,Haze,Yamato,Abrams,McGinnis,Paradox,Bebop,Infernus,Vindicta,Kelvin
5700017,The Sapphire Flame,Shiv,Haze,Vindicta,Lash,Paradox,Kelvin,Warden,McGinnis,Wraith,Viscous,Lady Geist,Infernus
5700019,The Sapphire Flame,Wraith,Infernus,Dynamo,Yamato,Grey Talon,Vindicta,Viscous,Haze,Mo & Krill,Bebop,Seven,Lady Geist
5700020,The Sapphire Flame,Wraith,Warden,Haze,Lady Geist,Seven,Grey Talon,Infernus,Bebop,Ivy,Dynamo,Mo & Krill,Yamato
5700022,The Amber Hand,Viscous,Lady Geist,Warden,Wraith,Lash,Yamato,Infernus,Kelvin,Seven,Pocket,Vindicta,Dynamo
5700023,The Sapphire Flame,Grey Talon,Paradox,Pocket,Vindicta,Shiv,Wraith,Haze,Ivy,Infernus,Bebop,Dynamo,Abrams
5700025,The Amber Hand,Seven,Shiv,McGinnis,Haze,Dynamo,Grey Talon,Vindicta,Pocket,Warden,Ivy,Wraith,Lady Geist
5700027,The Amber Hand,Paradox,McGinnis,Wraith,Bebop,Haze,Viscous,Infernus,Kelvin,Grey Talon,Seven,Lady Geist,Shiv
5700028,The Sapphire Flame,Haze,Dynamo,Bebop,Wraith,Seven,Pocket,Paradox,Warden,Viscous,Yamato,Lady Geist,Vindicta
5700029,The Amber Hand,McGinnis,Yamato,Vindicta,Haze,Warden,Kelvin,Grey Talon,Pocket,Seven,Bebop,Paradox,Viscous
5700030,The Sapphire Flame,McGinnis,Viscous,Haze,Ivy,Kelvin,Paradox,Seven,Wraith,Lash,Pocket,Bebop,Lady Geist
5700031,The Sapphire Flame,Haze,Kelvin,Paradox,Pocket,Grey Talon,Shiv,Warden,Vindicta,Mo & Krill,Wraith,Infernus,Seven
5700032,The Amber Hand,Haze,Bebop,Viscous,Vindicta,Mo & Krill,Dynamo,Yamato,Warden,Lady Geist,Lash,Wraith,Ivy
5700036,The Amber Hand,Grey Talon,McGinnis,Haze,Infernus,Warden,Seven,Wraith,Dynamo,Bebop,Viscous,Vindicta,Paradox
5700039,The Amber Hand,Dynamo,McGinnis,Mo & Krill,Ivy,Viscous,Seven,Abrams,Bebop,Shiv,Lady Geist,Pocket,Vindicta
5700040,The Sapphire Flame,Wraith,McGinnis,Pocket,Vindicta,Bebop,Haze,Ivy,Yamato,Seven,Paradox,Warden,Lash
5700041,The Sapphire Flame,Yamato,Lash,Abrams,Haze,Vindicta,Infernus,Kelvin,Dynamo,Grey Talon,Seven,McGinnis,Pocket
5700042,The Sapphire Flame,Warden,Paradox,McGinnis,Seven,Pocket,Shiv,Lash,Wraith,Infernus,Viscous,Grey Talon,Haze
5700043,The Sapphire Flame,McGinnis,Grey Talon,Wraith,Vindicta,Bebop,Ivy,Haze,Abrams,Shiv,Mo & Krill,Pocket,Lash
5700045,The Sapphire Flame,Seven,Vindicta,Wraith,Shiv,Lash,Infernus,Bebop,Haze,Grey Talon,Lady Geist,Warden,Dynamo
