matchid,duration,winner,hero_1_A,nickname_1_A,lane_1_A,kills_1_A,deaths_1_A,assists_1_A,souls_1_A,SPM_1_A,last_hits_1_A,denies_1_A,level_1_A,hero_2_A,nickname_2_A,lane_2_A,kills_2_A,deaths_2_A,assists_2_A,souls_2_A,SPM_2_A,last_hits_2_A,denies_2_A,level_2_A,hero_3_A,nickname_3_A,lane_3_A,kills_3_A,deaths_3_A,assists_3_A,souls_3_A,SPM_3_A,last_hits_3_A,denies_3_A,level_3_A,hero_4_A,nickname_4_A,lane_4_A,kills_4_A,deaths_4_A,assists_4_A,souls_4_A,SPM_4_A,last_hits_4_A,denies_4_A,level_4_A,hero_5_A,nickname_5_A,lane_5_A,kills_5_A,deaths_5_A,assists_5_A,souls_5_A,SPM_5_A,last_hits_5_A,denies_5_A,level_5_A,hero_6_A,nickname_6_A,lane_6_A,kills_6_A,deaths_6_A,assists_6_A,souls_6_A,SPM_6_A,last_hits_6_A,denies_6_A,level_6_A,hero_1_B,nickname_1_B,lane_1_B,kills_1_B,deaths_1_B,assists_1_B,souls_1_B,SPM_1_B,last_hits_1_B,denies_1_B,level_1_B,hero_2_B,nickname_2_B,lane_2_B,kills_2_B,deaths_2_B,assists_2_B,souls_2_B,SPM_2_B,last_hits_2_B,denies_2_B,level_2_B,hero_3_B,nickname_3_B,lane_3_B,kills_3_B,deaths_3_B,assists_3_B,souls_3_B,SPM_3_B,last_hits_3_B,denies_3_B,level_3_B,hero_4_B,nickname_4_B,lane_4_B,kills_4_B,deaths_4_B,assists_4_B,souls_4_B,SPM_4_B,last_hits_4_B,denies_4_B,level_4_B,hero_5_B,nickname_5_B,lane_5_B,kills_5_B,deaths_5_B,assists_5_B,souls_5_B,SPM_5_B,last_hits_5_B,denies_5_B,level_5_B,hero_6_B,nickname_6_B,lane_6_B,kills_6_B,deaths_6_B,assists_6_B,souls_6_B,SPM_6_B,last_hits_6_B,denies_6_B,level_6_B
6425000,32:22,The Sapphire Flame,Infernus,Ship,Left,1,10,11,28367,876.43,192,7,26,Lady Geist,Coochienetta,Mid Right,1,8,5,28364,876.33,179,5,26,Kelvin,china number 1,Right,11,9,11,29614,914.95,106,29,26,Lash,datboitwix,Right,9,12,8,31081,960.28,177,3,27,Seven,Presence,Right,9,8,9,39566,1222.43,204,11,30,Yamato,Quans,Right,16,9,5,38246,1181.65,160,3,29,Haze,LimeSalt,Left,12,9,12,38440,1187.64,151,13,29,Pocket,Tyler,Mid Right,5,7,11,34871,1077.37,224,11,28,McGinnis,onions,Right,12,11,11,33324,1029.58,131,1,28,Vindicta,condurr,Right,11,8,14,39391,1217.02,151,14,30,Ivy,SeSqMagikarp,Right,5,5,19,38973,1204.11,173,9,29,Shiv,Smevz,Right,11,7,10,37361,1154.3,166,7,29
6425001,29:58,The Sapphire Flame,Paradox,899670138,Left,5,6,10,27900,931.03,139,5,26,Haze,378168164,Left,12,5,6,38887,1297.68,130,17,29,Infernus,Quantumofire,Mid Right,5,6,11,34852,1163.03,136,22,28,Abrams,Faceless,Mid Right,6,10,7,23865,796.38,100,4,24,Wraith,Snade,Right,2,9,4,30706,1024.67,208,8,27,Vindicta,Sigma Xi,Right,6,7,7,27658,922.96,132,15,26,Ivy,taunty,Left,4,4,8,31441,1049.2,137,30,27,Kelvin,Crazem,Left,2,9,10,30629,1022.1,170,14,27,Grey Talon,reeceisbetter,Mid Right,9,8,6,29475,983.59,99,4,26,Yamato,unlimited,Mid Right,10,7,8,36684,1224.16,125,9,29,Seven,psich1c,Right,13,4,12,43799,1461.59,257,8,31,Lash,Percocet Pete,Right,5,5,4,32310,1078.2,215,26,27
6425003,29:57,The Amber Hand,Bebop,Oh Wonder,Left,6,4,11,30301,1011.72,144,16,27,Haze,atheia,Mid Right,12,8,9,33697,1125.11,159,9,28,Abrams,D A Y [ 9 ],Right,10,5,17,37797,1262.0,142,31,29,Warden,Da Law,Right,6,9,7,28532,952.65,154,5,26,Mo & Krill,et,Right,13,2,16,41834,1396.79,206,20,30,Shiv,Eroot,Right,3,11,10,22061,736.59,54,2,24,Paradox,sh0ᴎ,Left,2,8,15,21742,725.94,90,7,23,Wraith,|AΩ| BuffGoff1,Mid Right,8,12,9,31866,1063.97,163,4,27,Vindicta,Panzair,Right,4,7,11,28483,951.02,123,6,26,Kelvin,Tettrum,Right,7,8,14,26857,896.73,142,8,25,Lash,Bronan,Right,9,8,14,27972,933.96,92,2,26,Seven,ZYPHERUS,Right,9,7,14,27291,911.22,133,8,26
6425004,53:57,The Amber Hand,McGinnis,Skelni,Left,8,10,28,63551,1177.96,312,18,33,Grey Talon,Throbgoblin,Left,5,8,19,39983,741.11,102,2,30,Seven,ArrogantLobster,Mid Right,22,7,28,78278,1450.94,410,7,33,Shiv,redzhgaming,Right,26,12,28,63363,1174.48,290,4,33,Dynamo,Pants,Right,4,10,36,48625,901.3,134,2,33,Haze,106467267,Right,16,10,33,67808,1256.87,316,23,33,Lash,Icy Inferno,Left,7,15,19,53792,997.07,244,36,33,Abrams,intel,Left,9,14,22,59337,1099.85,270,2,33,Mo & Krill,limit testing,Mid Right,8,12,16,60280,1117.33,300,15,33,Warden,NF,Right,6,19,17,45986,852.38,188,15,32,Pocket,:),Right,3,13,19,49146,910.95,206,17,33,Vindicta,TRS_TheGuidance,Right,24,8,16,82691,1532.73,281,22,33
6425005,23:05,The Sapphire Flame,Mo & Krill,PatrolMaster69,Left,2,5,4,18008,780.13,97,15,22,McGinnis,SYDTKO,Left,5,4,3,22328,967.28,121,7,24,Seven,Semen Steve,Mid Right,3,5,3,22728,984.61,152,23,24,Viscous,Graham S,Right,1,6,5,15813,685.04,67,1,20,Pocket,JetRhee,Right,1,8,2,15899,688.77,125,6,20,Paradox,BASTIAN,Right,2,5,3,16387,709.91,96,7,21,Yamato,Amia,Left,3,4,3,24307,1053.01,126,9,25,Ivy,♥ Mutt ♥,Left,3,2,8,23551,1020.26,118,18,24,Warden,ken fartson,Mid Right,7,1,11,25138,1089.01,105,8,25,Infernus,concrete eating man,Right,3,1,12,25163,1090.09,119,13,25,Lash,Son,Right,2,2,9,23890,1034.95,138,18,24,Shiv,Sleep Tight Puppers,Right,15,4,9,27786,1203.73,135,16,26
6425006,33:02,The Sapphire Flame,Kelvin,George Lopez,Left,5,9,7,29790,901.82,157,2,26,Lash,Ye old Tyrone,Left,6,10,5,30831,933.33,162,2,27,Shiv,< Dream >,Mid Right,7,8,5,42602,1289.67,242,9,31,Warden,134046680,Right,6,9,8,30006,908.36,160,14,27,Dynamo,No.,Right,11,7,14,29583,895.55,119,1,26,Infernus,GOD,Right,9,9,12,28580,865.19,120,14,26,Viscous,Braxoff,Left,9,5,12,39063,1182.53,154,16,30,Bebop,WEEKAPOODIA,Left,2,8,16,31061,940.29,110,1,27,Pocket,tan,Mid Right,13,7,10,39181,1186.1,191,8,30,Haze,Mules,Right,13,5,10,43313,1311.19,229,34,31,Yamato,Almighty,Right,8,7,21,39762,1203.69,202,6,30,Seven,kirbies,Right,7,12,19,40212,1217.32,176,3,30
6425007,36:34,The Amber Hand,Seven,99844858,Left,5,9,14,37341,1021.18,180,1,29,Grey Talon,AKULA,Left,7,8,15,37584,1027.82,178,17,29,Viscous,227992301,Mid Right,6,5,18,35505,970.97,84,13,28,Wraith,174438857,Mid Right,11,6,5,44420,1214.77,233,9,31,Haze,UwU,Right,9,5,9,30510,834.37,93,8,27,Infernus,Khada,Right,14,5,11,48458,1325.2,251,18,33,Bebop,Dayy,Left,14,12,7,36349,994.05,137,18,29,Kelvin,JC Discount_Dane,Left,2,8,18,30501,834.12,70,15,27,Dynamo,178542712,Mid Right,5,8,15,33515,916.55,102,4,28,Mo & Krill,lauqe,Mid Right,8,5,13,43732,1195.95,231,12,31,Lash,356053318,Right,6,10,7,28636,783.12,149,11,26,Pocket,81743182,Right,3,9,11,34299,937.99,200,13,28
6425008,33:49,The Sapphire Flame,Haze,205259407,Left,15,6,8,36557,1081.03,111,5,29,Wraith,135159832,Left,4,12,12,29497,872.26,160,7,26,Pocket,196828757,Mid Right,6,13,11,25103,742.33,86,1,25,Lady Geist,-- neepz,Right,13,10,9,32448,959.53,145,11,27,Seven,89133093,Right,9,10,17,32929,973.75,149,1,27,Paradox,57040212,Right,6,8,16,27199,804.31,91,6,26,Infernus,SUDAMERICAN PLAYER,Left,10,5,19,35490,1049.48,129,8,28,Abrams,837729222,Left,10,8,13,31443,929.81,102,2,27,Shiv,1589484328,Mid Right,10,8,10,33914,1002.88,162,2,28,Dynamo,66810477,Right,2,15,3,19425,574.42,55,4,22,Warden,114480331,Right,9,9,7,33019,976.41,136,5,27,Bebop,382201728,Right,18,8,8,41861,1237.88,151,4,30
6425010,25:40,The Sapphire Flame,Wraith,185283857,Left,6,10,4,21133,823.36,99,23,23,Warden,62161596,Mid Right,4,12,7,21049,820.09,103,8,23,Paradox,190086968,Mid Right,1,13,3,15425,600.97,76,0,20,Haze,Xephyrez,Right,11,11,3,30112,1173.19,134,6,27,Viscous,122219737,Right,2,5,3,18674,727.56,76,2,22,Bebop,196577029,Right,4,13,5,21038,819.66,111,5,23,Grey Talon,mentally fragile,Left,15,6,9,29918,1165.64,91,4,26,Abrams,shinshin,Mid Right,14,5,14,35321,1376.14,146,8,28,Yamato,84399376,Mid Right,16,2,19,31572,1230.08,99,6,27,Shiv,OGMudbone909,Right,2,5,11,21184,825.35,64,9,23,Seven,Asian,Right,7,4,16,26821,1044.97,111,3,25,Mo & Krill,160392887,Right,10,6,15,28668,1116.94,121,2,26
6425011,27:23,The Sapphire Flame,Kelvin,bhur,Left,1,9,6,18609,679.57,117,14,22,Dynamo,SuperToad916,Mid Right,1,10,7,17380,634.69,72,13,21,Bebop,484903991,Mid Right,1,14,3,14918,544.78,48,1,19,Vindicta,Xavibite,Right,11,6,2,30442,1111.7,103,16,27,Lady Geist,PinkLemonade,Right,1,6,4,21997,803.3,155,14,23,Paradox,RosieWoahsie,Right,1,5,3,21198,774.12,166,7,23,Lash,Kilgrim,Left,9,4,6,32755,1196.17,169,7,27,Infernus,BDB,Mid Right,7,1,11,30456,1112.21,142,13,27,Wraith,30419682,Mid Right,13,4,17,33010,1205.48,138,25,27,Haze,Requar,Right,4,2,10,38942,1422.11,196,18,29,Ivy,candy,Right,12,3,19,33374,1218.77,125,19,28,Seven,danceashleydance,Right,5,2,13,25915,946.38,95,2,25
