matchid,duration,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6425000,32:22,1,infernus,lady geist,kelvin,lash,seven,yamato,haze,pocket,mcginnis,vindicta,ivy,shiv
6425001,29:58,1,paradox,haze,infernus,abrams,wraith,vindicta,ivy,kelvin,grey talon,yamato,seven,lash
6425003,29:57,0,bebop,haze,abrams,warden,mo & krill,shiv,paradox,wraith,vindicta,kelvin,lash,seven
6425004,53:57,0,mcginnis,grey talon,seven,shiv,dynamo,haze,lash,abrams,mo & krill,warden,pocket,vindicta
6425005,23:05,1,mo & krill,mcginnis,seven,viscous,pocket,paradox,yamato,ivy,warden,infernus,lash,shiv
6425006,33:02,1,kelvin,lash,shiv,warden,dynamo,infernus,viscous,bebop,pocket,haze,yamato,seven
6425007,36:34,0,seven,grey talon,viscous,wraith,haze,infernus,bebop,kelvin,dynamo,mo & krill,lash,pocket
6425008,33:49,1,haze,wraith,pocket,lady geist,seven,paradox,infernus,abrams,shiv,dynamo,warden,bebop
6425010,25:40,1,wraith,warden,paradox,haze,viscous,bebop,grey talon,abrams,yamato,shiv,seven,mo & krill
6425011,27:23,1,kelvin,dynamo,bebop,vindicta,lady geist,paradox,lash,infernus,wraith,haze,ivy,seven
6425012,29:16,1,kelvin,wraith,dynamo,pocket,paradox,grey talon,lady geist,mo & krill,infernus,vindicta,haze,abrams
6425013,42:02,1,shiv,abrams,paradox,lady geist,bebop,vindicta,yamato,mo & krill,mcginnis,grey talon,seven,kelvin
6425014,42:22,0,yamato,shiv,abrams,bebop,vindicta,lady geist,lash,warden,haze,seven,mo & krill,infernus
6425023,40:04,1,bebop,grey talon,viscous,abrams,ivy,shiv,mo & krill,haze,pocket,wraith,warden,mcginnis
6425024,43:51,0,seven,mcginnis,vindicta,paradox,kelvin,viscous,lady geist,haze,dynamo,shiv,grey talon,ivy
6425025,18:32,1,viscous,wraith,warden,shiv,infernus,grey talon,yamato,kelvin,mcginnis,haze,bebop,paradox
6425029,35:51,1,grey talon,lady geist,mcginnis,viscous,bebop,seven,infernus,lash,shiv,wraith,haze,vindicta
6425030,40:20,1,warden,viscous,lady geist,mo & krill,seven,vindicta,haze,ivy,lash,abrams,bebop,shiv
6425031,38:34,1,mcginnis,viscous,ivy,bebop,paradox,grey talon,vindicta,seven,warden,wraith,lash,shiv
6425032,33:33,1,seven,kelvin,mcginnis,lash,lady geist,abrams,grey talon,paradox,viscous,haze,bebop,wraith
6425033,34:08,1,grey talon,infernus,mcginnis,paradox,vindicta,wraith,ivy,kelvin,haze,seven,warden,dynamo
6425035,19:32,1,shiv,lady geist,mo & krill,viscous,dynamo,infernus,ivy,vindicta,bebop,haze,kelvin,pocket
6425036,36:43,0,yamato,seven,infernus,lash,bebop,wraith,paradox,abrams,vindicta,mcginnis,haze,grey talon
6425037,33:50,1,seven,warden,lash,wraith,vindicta,bebop,infernus,grey talon,shiv,dynamo,kelvin,pocket
6425038,34:33,0,dynamo,haze,wraith,grey talon,kelvin,seven,lady geist,vindicta,paradox,mo & krill,pocket,ivy
6425039,38:37,1,haze,abrams,vindicta,bebop,lady geist,paradox,wraith,grey talon,warden,seven,yamato,kelvin
6425040,44:05,0,infernus,mcginnis,wraith,paradox,lady geist,shiv,haze,viscous,dynamo,seven,grey talon,vindicta
6425041,38:51,0,infernus,paradox,haze,shiv,vindicta,kelvin,ivy,lady geist,mcginnis,pocket,viscous,abrams
6425042,22:35,0,lash,haze,abrams,infernus,pocket,seven,wraith,lady geist,dynamo,grey talon,vindicta,mo & krill
6425043,46:30,1,haze,vindicta,seven,mcginnis,warden,paradox,infernus,lash,dynamo,grey talon,kelvin,viscous
6425045,33:53,1,haze,abrams,bebop,lash,vindicta,kelvin,ivy,infernus,grey talon,wraith,viscous,seven
6425051,20:38,1,wraith,seven,vindicta,shiv,paradox,viscous,lady geist,bebop,grey talon,infernus,haze,abrams
6425052,27:01,0,paradox,seven,yamato,grey talon,haze,dynamo,warden,infernus,mcginnis,vindicta,wraith,bebop
6425055,37:38,0,infernus,seven,haze,kelvin,lash,yamato,bebop,abrams,dynamo,shiv,ivy,grey talon
6425057,37:52,1,kelvin,paradox,shiv,abrams,yamato,vindicta,haze,seven,wraith,lash,infernus,pocket
6425058,34:32,0,shiv,dynamo,paradox,abrams,haze,wraith,pocket,bebop,ivy,seven,yamato,infernus
6425059,49:20,0,warden,mcginnis,infernus,paradox,grey talon,haze,kelvin,abrams,wraith,seven,bebop,vindicta
6425060,27:01,1,shiv,viscous,grey talon,bebop,seven,kelvin,lady geist,mcginnis,yamato,warden,infernus,pocket
6425061,27:15,1,grey talon,pocket,viscous,warden,mcginnis,bebop,wraith,abrams,vindicta,infernus,seven,haze
6425062,12:50,1,shiv,warden,wraith,ivy,grey talon,lady geist,haze,infernus,paradox,vindicta,yamato,seven
6425063,25:15,1,grey talon,bebop,viscous,paradox,infernus,mcginnis,vindicta,pocket,kelvin,seven,abrams,wraith
6425064,51:18,0,haze,seven,grey talon,wraith,lady geist,shiv,pocket,lash,warden,infernus,vindicta,bebop
6425065,19:28,0,haze,seven,wraith,pocket,lady geist,grey talon,bebop,yamato,ivy,viscous,mcginnis,paradox
6425067,27:42,1,vindicta,ivy,kelvin,dynamo,grey talon,abrams,infernus,haze,mo & krill,paradox,seven,shiv
6425068,32:32,1,wraith,warden,dynamo,mcginnis,grey talon,viscous,infernus,bebop,abrams,seven,haze,ivy
6425069,38:05,1,shiv,dynamo,infernus,lash,grey talon,seven,wraith,abrams,warden,kelvin,lady geist,haze
6425070,17:50,0,mcginnis,pocket,haze,viscous,lady geist,seven,bebop,grey talon,wraith,vindicta,dynamo,warden
6425071,21:58,0,lady geist,viscous,wraith,vindicta,haze,dynamo,yamato,seven,infernus,mcginnis,bebop,paradox
6425072,30:01,0,infernus,seven,paradox,vindicta,kelvin,lash,abrams,mcginnis,grey talon,viscous,shiv,dynamo
6425073,21:09,1,wraith,abrams,pocket,dynamo,lady geist,haze,infernus,seven,paradox,warden,kelvin,grey talon
6425074,38:41,0,seven,grey talon,paradox,infernus,lash,viscous,ivy,abrams,mcginnis,vindicta,bebop,lady geist
6425075,34:57,0,mo & krill,grey talon,kelvin,vindicta,shiv,dynamo,mcginnis,bebop,haze,yamato,seven,wraith
6425076,43:57,1,lash,wraith,vindicta,haze,pocket,mcginnis,seven,dynamo,shiv,grey talon,warden,abrams
6425079,30:35,0,mo & krill,wraith,lady geist,yamato,abrams,haze,grey talon,viscous,seven,bebop,paradox,infernus
6425080,34:04,0,seven,mo & krill,yamato,haze,abrams,mcginnis,bebop,lady geist,grey talon,vindicta,infernus,wraith
6425081,39:20,1,ivy,haze,yamato,infernus,abrams,grey talon,vindicta,viscous,kelvin,seven,wraith,shiv
6425082,21:52,1,wraith,paradox,haze,pocket,kelvin,infernus,bebop,mcginnis,warden,yamato,dynamo,shiv
6425083,43:34,0,shiv,bebop,haze,wraith,paradox,ivy,viscous,mcginnis,vindicta,kelvin,warden,seven
6425086,32:10,1,infernus,paradox,lady geist,viscous,ivy,mcginnis,seven,dynamo,abrams,wraith,vindicta,haze
6425087,30:26,1,vindicta,lash,bebop,abrams,infernus,viscous,mcginnis,wraith,seven,haze,lady geist,pocket
6425088,22:30,1,grey talon,haze,paradox,wraith,shiv,abrams,bebop,ivy,seven,dynamo,yamato,vindicta
6425089,29:50,1,wraith,mcginnis,abrams,warden,grey talon,paradox,vindicta,ivy,seven,haze,yamato,kelvin
6425090,24:59,1,infernus,shiv,pocket,haze,dynamo,mcginnis,seven,lady geist,abrams,bebop,wraith,vindicta
6425092,36:25,1,wraith,abrams,vindicta,bebop,mo & krill,mcginnis,lash,seven,pocket,viscous,haze,paradox
6425095,27:50,0,lady geist,bebop,wraith,viscous,mo & krill,mcginnis,seven,haze,vindicta,abrams,warden,infernus
6425096,35:12,0,vindicta,infernus,yamato,mo & krill,haze,dynamo,wraith,grey talon,ivy,seven,shiv,mcginnis
6425100,25:55,0,kelvin,abrams,haze,lady geist,mo & krill,mcginnis,ivy,grey talon,warden,dynamo,viscous,seven
6425101,28:25,0,infernus,viscous,warden,grey talon,wraith,mcginnis,haze,vindicta,ivy,seven,shiv,kelvin
6425102,40:19,0,bebop,infernus,warden,vindicta,grey talon,haze,seven,dynamo,lash,ivy,wraith,abrams
6425103,48:27,0,lady geist,mcginnis,abrams,dynamo,kelvin,pocket,bebop,infernus,vindicta,paradox,warden,seven
6425104,56:11,1,warden,mcginnis,pocket,shiv,haze,vindicta,infernus,wraith,bebop,grey talon,yamato,seven
6425105,48:20,1,lady geist,mcginnis,wraith,grey talon,infernus,pocket,abrams,vindicta,seven,lash,ivy,haze
6425115,31:58,1,ivy,vindicta,mcginnis,infernus,abrams,yamato,viscous,shiv,lady geist,seven,kelvin,haze
6425118,39:25,0,kelvin,yamato,haze,seven,grey talon,vindicta,bebop,paradox,wraith,lady geist,abrams,infernus
6425121,45:45,0,haze,infernus,abrams,dynamo,seven,mcginnis,grey talon,bebop,paradox,vindicta,kelvin,wraith
