matchid,duration,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6300004,34:10,0,haze,mcginnis,lash,bebop,wraith,lady geist,seven,vindicta,grey talon,infernus,pocket,warden
6300005,15:24,1,yamato,kelvin,vindicta,infernus,shiv,bebop,seven,wraith,pocket,mo & krill,abrams,paradox
6300007,25:17,0,lady geist,kelvin,infernus,pocket,warden,haze,paradox,ivy,seven,viscous,abrams,shiv
6300008,20:29,1,warden,abrams,dynamo,haze,viscous,shiv,bebop,mcginnis,grey talon,vindicta,wraith,seven
6300009,29:35,1,ivy,kelvin,grey talon,mo & krill,pocket,wraith,viscous,shiv,vindicta,haze,seven,infernus
6300010,26:50,1,warden,wraith,grey talon,abrams,ivy,vindicta,pocket,seven,shiv,lady geist,infernus,mcginnis
6300011,36:21,0,grey talon,haze,bebop,lash,kelvin,mcginnis,pocket,warden,seven,wraith,infernus,vindicta
6300012,20:38,1,grey talon,vindicta,dynamo,kelvin,wraith,mcginnis,haze,mo & krill,infernus,yamato,bebop,seven
6300014,33:07,0,abrams,vindicta,shiv,mcginnis,yamato,viscous,bebop,seven,mo & krill,haze,paradox,infernus
6300015,17:27,1,lady geist,lash,warden,infernus,ivy,viscous,haze,seven,dynamo,paradox,mo & krill,vindicta
6300023,40:28,0,kelvin,infernus,viscous,dynamo,abrams,haze,seven,mcginnis,lash,pocket,wraith,shiv
6300024,32:40,0,abrams,paradox,bebop,kelvin,wraith,shiv,warden,yamato,haze,mo & krill,seven,dynamo
6300025,47:55,1,wraith,warden,mcginnis,seven,lady geist,pocket,haze,kelvin,grey talon,infernus,shiv,abrams
6300026,39:17,1,seven,lash,warden,dynamo,paradox,pocket,viscous,infernus,bebop,wraith,mcginnis,haze
6300027,49:48,1,pocket,vindicta,seven,abrams,viscous,grey talon,yamato,kelvin,paradox,dynamo,lady geist,infernus
6300028,19:21,0,kelvin,wraith,haze,lash,vindicta,ivy,bebop,infernus,lady geist,shiv,mo & krill,viscous
6300037,37:25,0,bebop,seven,grey talon,infernus,haze,yamato,mcginnis,shiv,kelvin,wraith,warden,viscous
6300048,35:16,1,bebop,lash,yamato,viscous,seven,pocket,wraith,dynamo,warden,kelvin,grey talon,lady geist
6300049,38:05,0,abrams,grey talon,lady geist,wraith,pocket,infernus,yamato,mo & krill,vindicta,dynamo,haze,seven
6300052,38:48,0,wraith,vindicta,ivy,shiv,bebop,warden,seven,yamato,pocket,dynamo,mcginnis,haze
6300057,21:31,0,seven,paradox,infernus,mo & krill,abrams,bebop,mcginnis,lash,grey talon,shiv,vindicta,dynamo
6300058,25:00,1,lady geist,shiv,yamato,haze,abrams,infernus,vindicta,wraith,bebop,seven,pocket,grey talon
6300059,18:17,0,bebop,infernus,lady geist,mcginnis,haze,pocket,grey talon,dynamo,vindicta,paradox,ivy,seven
6300060,26:09,1,yamato,seven,dynamo,mcginnis,pocket,wraith,bebop,haze,warden,grey talon,ivy,kelvin
6300061,29:35,1,grey talon,shiv,lady geist,wraith,paradox,dynamo,vindicta,ivy,seven,viscous,warden,infernus
6300062,28:46,0,infernus,seven,lady geist,lash,viscous,bebop,grey talon,mcginnis,vindicta,haze,wraith,paradox
6300063,30:25,1,bebop,warden,lash,haze,ivy,kelvin,viscous,lady geist,seven,vindicta,abrams,mcginnis
6300067,17:22,1,kelvin,lash,vindicta,abrams,grey talon,mo & krill,haze,lady geist,paradox,seven,shiv,warden
6300068,26:08,1,haze,ivy,infernus,abrams,kelvin,vindicta,lash,grey talon,seven,bebop,wraith,warden
6300069,39:28,1,wraith,dynamo,viscous,mcginnis,ivy,infernus,seven,abrams,haze,bebop,kelvin,shiv
6300070,30:57,1,haze,wraith,viscous,pocket,dynamo,paradox,lady geist,grey talon,yamato,infernus,mcginnis,seven
6300072,11:35,1,abrams,yamato,haze,vindicta,bebop,wraith,viscous,dynamo,ivy,seven,infernus,warden
6300074,23:15,0,seven,abrams,warden,bebop,haze,ivy,vindicta,lady geist,kelvin,paradox,mcginnis,infernus
6300077,40:03,0,viscous,wraith,paradox,mcginnis,lash,grey talon,warden,bebop,abrams,vindicta,haze,seven
6300078,30:24,0,mcginnis,warden,lady geist,yamato,viscous,ivy,haze,vindicta,grey talon,bebop,seven,wraith
6300079,37:18,1,dynamo,viscous,shiv,kelvin,haze,vindicta,abrams,infernus,ivy,lady geist,seven,wraith
6300080,34:05,0,haze,pocket,lash,mcginnis,vindicta,warden,shiv,wraith,grey talon,mo & krill,seven,infernus
6300081,33:40,0,lady geist,ivy,bebop,haze,infernus,wraith,mo & krill,seven,vindicta,abrams,grey talon,warden
6300082,16:26,0,shiv,kelvin,seven,abrams,haze,bebop,warden,ivy,pocket,infernus,lady geist,yamato
6300086,40:22,1,bebop,ivy,shiv,grey talon,haze,infernus,seven,dynamo,wraith,abrams,lash,yamato
6300089,31:55,1,vindicta,infernus,kelvin,abrams,wraith,haze,shiv,lash,lady geist,seven,bebop,mcginnis
6300091,38:54,0,seven,lash,shiv,infernus,pocket,haze,bebop,wraith,paradox,abrams,grey talon,yamato
6300095,41:49,1,seven,warden,dynamo,ivy,grey talon,abrams,lash,shiv,kelvin,lady geist,wraith,pocket
6300099,18:44,1,haze,wraith,paradox,abrams,seven,kelvin,mo & krill,shiv,vindicta,mcginnis,bebop,grey talon
6300100,31:51,0,viscous,pocket,haze,vindicta,lash,mo & krill,shiv,dynamo,infernus,kelvin,bebop,grey talon
6300103,38:28,1,vindicta,haze,pocket,infernus,lady geist,bebop,warden,seven,wraith,grey talon,shiv,mcginnis
6300108,15:48,1,haze,abrams,wraith,seven,pocket,mo & krill,shiv,infernus,ivy,vindicta,bebop,grey talon
6300109,40:08,0,vindicta,kelvin,haze,wraith,ivy,bebop,lash,infernus,seven,mo & krill,grey talon,lady geist
6300113,38:17,0,ivy,wraith,yamato,warden,haze,kelvin,seven,paradox,pocket,mcginnis,lady geist,mo & krill
6300114,40:31,1,grey talon,mcginnis,wraith,pocket,haze,yamato,bebop,infernus,ivy,vindicta,seven,mo & krill
6300116,24:55,1,ivy,bebop,vindicta,grey talon,wraith,dynamo,lash,haze,warden,infernus,paradox,seven
6300118,36:23,1,seven,kelvin,dynamo,bebop,wraith,grey talon,haze,infernus,vindicta,viscous,lash,mo & krill
6300121,32:55,0,yamato,bebop,lash,shiv,haze,vindicta,seven,kelvin,paradox,wraith,mcginnis,warden
6300122,12:21,1,warden,paradox,mcginnis,haze,wraith,yamato,vindicta,mo & krill,grey talon,infernus,pocket,seven
6300123,45:41,0,paradox,wraith,seven,abrams,vindicta,mo & krill,warden,infernus,mcginnis,grey talon,haze,ivy
6300124,33:22,0,wraith,pocket,lady geist,vindicta,mcginnis,kelvin,grey talon,seven,haze,shiv,infernus,viscous
6300125,20:59,1,vindicta,lady geist,yamato,haze,grey talon,seven,pocket,infernus,mcginnis,bebop,wraith,warden
6300126,46:06,0,warden,abrams,infernus,bebop,haze,vindicta,dynamo,ivy,wraith,seven,lady geist,kelvin
6300127,36:00,1,abrams,bebop,wraith,kelvin,haze,seven,yamato,grey talon,lady geist,dynamo,infernus,vindicta
6300128,29:27,0,grey talon,lash,bebop,seven,haze,pocket,abrams,dynamo,infernus,vindicta,wraith,paradox
6300129,30:53,1,kelvin,grey talon,bebop,lady geist,dynamo,infernus,haze,seven,wraith,paradox,mcginnis,vindicta
6300130,32:23,1,abrams,bebop,vindicta,warden,seven,infernus,lash,lady geist,haze,wraith,grey talon,yamato
6300131,27:28,0,haze,warden,viscous,seven,yamato,bebop,mcginnis,abrams,grey talon,wraith,vindicta,infernus
6300135,19:07,1,paradox,vindicta,dynamo,haze,seven,wraith,lady geist,warden,mcginnis,abrams,ivy,infernus
6300136,24:47,1,warden,bebop,infernus,wraith,grey talon,seven,yamato,ivy,shiv,vindicta,haze,paradox
6300137,38:09,0,mo & krill,ivy,haze,bebop,paradox,viscous,yamato,seven,dynamo,vindicta,mcginnis,infernus
6300138,36:45,1,vindicta,grey talon,yamato,seven,wraith,lash,kelvin,infernus,haze,abrams,bebop,mo & krill
6300139,23:40,0,haze,pocket,infernus,bebop,abrams,shiv,seven,viscous,yamato,grey talon,wraith,vindicta
6300140,43:41,1,kelvin,vindicta,seven,bebop,yamato,paradox,haze,pocket,dynamo,wraith,infernus,ivy
6300141,35:57,0,infernus,pocket,mcginnis,dynamo,bebop,wraith,viscous,haze,seven,yamato,warden,vindicta
6300143,58:31,0,haze,mcginnis,grey talon,shiv,bebop,infernus,vindicta,warden,lady geist,seven,yamato,wraith
6300144,41:41,1,abrams,mcginnis,vindicta,lash,infernus,haze,seven,wraith,mo & krill,bebop,pocket,kelvin
6300146,16:56,0,shiv,seven,yamato,mcginnis,warden,bebop,kelvin,paradox,abrams,pocket,vindicta,lady geist
6300147,19:17,0,bebop,mo & krill,grey talon,warden,lash,haze,infernus,seven,abrams,mcginnis,vindicta,dynamo
6300152,36:06,1,grey talon,paradox,haze,vindicta,seven,infernus,wraith,bebop,viscous,pocket,ivy,abrams
6300154,15:48,0,dynamo,mcginnis,lady geist,pocket,wraith,infernus,haze,bebop,seven,kelvin,vindicta,paradox
6300155,30:49,1,pocket,dynamo,viscous,bebop,seven,grey talon,abrams,paradox,vindicta,mcginnis,lash,infernus
6300156,43:25,1,vindicta,mcginnis,bebop,yamato,lash,kelvin,haze,wraith,grey talon,pocket,seven,shiv
6300157,40:48,0,mcginnis,seven,haze,grey talon,pocket,yamato,kelvin,ivy,abrams,warden,infernus,vindicta
6300158,34:03,1,dynamo,grey talon,abrams,haze,vindicta,lady geist,warden,wraith,bebop,infernus,seven,kelvin
6300159,25:50,1,bebop,lash,wraith,vindicta,dynamo,haze,yamato,seven,mcginnis,lady geist,infernus,mo & krill
6300165,21:44,1,dynamo,shiv,yamato,wraith,vindicta,lash,haze,grey talon,bebop,seven,warden,infernus
6300166,43:57,0,seven,vindicta,mcginnis,haze,kelvin,pocket,yamato,warden,infernus,grey talon,ivy,wraith
6300167,34:26,0,lady geist,haze,seven,bebop,wraith,grey talon,infernus,paradox,abrams,pocket,vindicta,kelvin
6300168,34:19,1,haze,vindicta,bebop,viscous,mcginnis,infernus,paradox,seven,dynamo,wraith,yamato,mo & krill
6300169,41:27,0,mo & krill,seven,dynamo,wraith,yamato,mcginnis,shiv,warden,vindicta,pocket,haze,infernus
6300171,36:52,1,warden,vindicta,lady geist,wraith,abrams,bebop,dynamo,shiv,ivy,haze,mo & krill,infernus
6300172,34:42,0,viscous,dynamo,haze,seven,lash,shiv,mcginnis,vindicta,infernus,wraith,grey talon,bebop
6300173,34:24,1,mcginnis,bebop,infernus,wraith,vindicta,seven,haze,lady geist,yamato,grey talon,ivy,warden
6300175,31:05,0,lady geist,haze,lash,bebop,mo & krill,pocket,paradox,seven,mcginnis,viscous,vindicta,grey talon
6300176,48:01,1,pocket,abrams,dynamo,lady geist,bebop,seven,warden,haze,vindicta,yamato,infernus,shiv
6300177,34:48,1,lash,haze,shiv,bebop,abrams,grey talon,pocket,yamato,infernus,seven,wraith,warden
