winner,A,B,A_synergy,B_synergy
0,"['haze', 'mcginnis', 'lash', 'bebop', 'wraith', 'lady geist']","['seven', 'vindicta', 'grey talon', 'infernus', 'pocket', 'warden']",7.4624514966618385,7.528872394011534
1,"['yamato', 'kelvin', 'vindicta', 'infernus', 'shiv', 'bebop']","['seven', 'wraith', 'pocket', 'mo & krill', 'abrams', 'paradox']",7.5217417750333295,7.544658852475553
0,"['lady geist', 'kelvin', 'infernus', 'pocket', 'warden', 'haze']","['paradox', 'ivy', 'seven', 'viscous', 'abrams', 'shiv']",7.502696655924573,7.527290944463063
1,"['warden', 'abrams', 'dynamo', 'haze', 'viscous', 'shiv']","['bebop', 'mcginnis', 'grey talon', 'vindicta', 'wraith', 'seven']",7.427387221263832,7.489348946074806
1,"['ivy', 'kelvin', 'grey talon', 'mo & krill', 'pocket', 'wraith']","['viscous', 'shiv', 'vindicta', 'haze', 'seven', 'infernus']",7.540967217307559,7.550029332587639
1,"['warden', 'wraith', 'grey talon', 'abrams', 'ivy', 'vindicta']","['pocket', 'seven', 'shiv', 'lady geist', 'infernus', 'mcginnis']",7.46413189488085,7.524609583588523
0,"['grey talon', 'haze', 'bebop', 'lash', 'kelvin', 'mcginnis']","['pocket', 'warden', 'seven', 'wraith', 'infernus', 'vindicta']",7.484903213072958,7.4944573779605514
1,"['grey talon', 'vindicta', 'dynamo', 'kelvin', 'wraith', 'mcginnis']","['haze', 'mo & krill', 'infernus', 'yamato', 'bebop', 'seven']",7.485519435436976,7.582719414341907
0,"['abrams', 'vindicta', 'shiv', 'mcginnis', 'yamato', 'viscous']","['bebop', 'seven', 'mo & krill', 'haze', 'paradox', 'infernus']",7.4324981523543086,7.640082325455725
1,"['lady geist', 'lash', 'warden', 'infernus', 'ivy', 'viscous']","['haze', 'seven', 'dynamo', 'paradox', 'mo & krill', 'vindicta']",7.394291622783411,7.579926174492183
0,"['kelvin', 'infernus', 'viscous', 'dynamo', 'abrams', 'haze']","['seven', 'mcginnis', 'lash', 'pocket', 'wraith', 'shiv']",7.430457568670328,7.461958854314706
0,"['abrams', 'paradox', 'bebop', 'kelvin', 'wraith', 'shiv']","['warden', 'yamato', 'haze', 'mo & krill', 'seven', 'dynamo']",7.462907344623336,7.518371494246529
1,"['wraith', 'warden', 'mcginnis', 'seven', 'lady geist', 'pocket']","['haze', 'kelvin', 'grey talon', 'infernus', 'shiv', 'abrams']",7.393926832339687,7.509033357823742
1,"['seven', 'lash', 'warden', 'dynamo', 'paradox', 'pocket']","['viscous', 'infernus', 'bebop', 'wraith', 'mcginnis', 'haze']",7.468544493722255,7.476180806687352
1,"['pocket', 'vindicta', 'seven', 'abrams', 'viscous', 'grey talon']","['yamato', 'kelvin', 'paradox', 'dynamo', 'lady geist', 'infernus']",7.427228291555095,7.470263342905773
0,"['kelvin', 'wraith', 'haze', 'lash', 'vindicta', 'ivy']","['bebop', 'infernus', 'lady geist', 'shiv', 'mo & krill', 'viscous']",7.446030001623277,7.528482470859604
0,"['bebop', 'seven', 'grey talon', 'infernus', 'haze', 'yamato']","['mcginnis', 'shiv', 'kelvin', 'wraith', 'warden', 'viscous']",7.594215293443386,7.309599678895764
1,"['bebop', 'lash', 'yamato', 'viscous', 'seven', 'pocket']","['wraith', 'dynamo', 'warden', 'kelvin', 'grey talon', 'lady geist']",7.420514497783762,7.477906610135375
0,"['abrams', 'grey talon', 'lady geist', 'wraith', 'pocket', 'infernus']","['yamato', 'mo & krill', 'vindicta', 'dynamo', 'haze', 'seven']",7.495817203194476,7.554253311300524
0,"['wraith', 'vindicta', 'ivy', 'shiv', 'bebop', 'warden']","['seven', 'yamato', 'pocket', 'dynamo', 'mcginnis', 'haze']",7.460224375488602,7.512225292850544
0,"['seven', 'paradox', 'infernus', 'mo & krill', 'abrams', 'bebop']","['mcginnis', 'lash', 'grey talon', 'shiv', 'vindicta', 'dynamo']",7.593534827863935,7.523224420813081
